net_cost,self_sufficiency_pct,soh_drop_pct,degradation_cost,comfort_violation_kwh,battery_switching_events,control_effort_kw,peak_hour_grid_import_kwh,soc_bound_violations,avg_solve_time_ms,avg_forecast_confidence,scenario,controller,seed
154.04294066084944,43.05693453681364,2.643374895557715,107.26239947516441,0.0,67,187.77002804121332,39.88966343196373,378,0.02982308958760566,0.013973637771155937,Cloud-Cover Cascade,PID Droop,4
249.04080084880087,41.896142433221186,4.987377818956784,203.41382846926354,0.0,66,292.8715336011044,33.79919625824787,83,28.744441840217405,0.013973637771155937,Cloud-Cover Cascade,Classical MPC (Naive Forecast),0
245.80784267697254,41.81373639355106,4.902842980378153,200.03416947787952,0.0,70,293.22892243759685,34.308374728799954,85,25.817421006649965,0.013973637771155937,Cloud-Cover Cascade,Classical MPC (Naive Forecast),1
251.3905183984382,41.843142841821546,5.038859246830329,205.60252844922243,0.0,66,306.68121427221354,34.49030129558368,78,26.072575694444012,0.013973637771155937,Cloud-Cover Cascade,Classical MPC (Naive Forecast),2
254.91225429784095,41.58333185296539,5.121317587156582,209.04379076620245,0.0,70,345.3945382068156,34.450072498807316,82,26.27504079881267,0.013973637771155937,Cloud-Cover Cascade,Classical MPC (Naive Forecast),3
259.60808426230824,41.46125680016481,5.2320317221833506,213.59035634957172,0.0,58,348.15057687138057,34.994022750216885,74,24.647022916370688,0.013973637771155937,Cloud-Cover Cascade,Classical MPC (Naive Forecast),4
139.6098233116299,44.76224837473393,1.910964587130759,77.48691006993175,0.0,14,19.371973486867525,19.264158571931194,0,23.808549826677943,0.09438060308249617,EV Fleet Overnight Charging,DT-AAMPC (Proposed),0
134.84765534534955,45.12278664603502,1.7908477253216426,72.6584843563349,0.0,14,16.2154006178521,20.588713861644223,0,23.797821180728025,0.09438060308249617,EV Fleet Overnight Charging,DT-AAMPC (Proposed),1
125.09852332489274,45.21952356189571,1.5535069986049366,63.057041400471036,0.0,18,19.03134795266097,20.09839923687639,0,23.21693420129931,0.09438060308249617,EV Fleet Overnight Charging,DT-AAMPC (Proposed),2
107.66469943261876,45.64471507069269,1.134063901945781,46.011148485626876,0.0,16,13.82272788504402,19.32016782425697,0,18.834530034660528,0.09438060308249617,EV Fleet Overnight Charging,DT-AAMPC (Proposed),3
